display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
Q Stop Deli,Q Stop Deli,K-Squad Inc.,1506 Avenue H,11230,,,0081-26-137503,Grocery Store,0081,license,2026-03-12,2026-03-12,2029-02-28,40.62999,-73.96203,pip
RINCON DELI GROCERY CORP,,RINCON DELI GROCERY CORP,2101 CORTELYOU RD,11226,,,0081-22-128825,Grocery Store,0081,license,2025-05-01,2025-05-01,2028-04-30,40.64391,-73.95845,pip
RJM MINIMARKET,RJM MINIMARKET,RJM MINIMARKET CORP,1422 FLATBUSH AVENUE,11210,,,0081-22-131141,Grocery Store,0081,license,2025-11-18,2026-01-01,2028-12-31,40.63602,-73.95105,pip
RUSTY NAIL,RUSTY NAIL,1701 FOSTER CORP,1701 FOSTER AVE,11230,https://www.rustynailbrooklyn.com/,/liquor/logos/8cb0610bbf5c.png,0340-23-137131,Restaurant,0340,license,2025-09-23,2025-11-01,2027-10-31,40.63504,-73.96108,pip
S&B CIBAO DISTRIBUTOR INC.,,S&B CIBAO DISTRIBUTOR INC.,210 Parkside Ave,11226,,,0071-26-150326,Grocery Store,0071,license,2026-07-29,2026-07-29,2029-06-30,40.65528,-73.96088,geoclient
SAM WINE & LIQUORS,SAM WINE & LIQUORS,MARK LIQUORS INC,1139 FLATBUSH AVE,11226,,,0100-21-114098,Liquor Store,0100,license,2024-11-06,2024-12-01,2027-11-30,40.6424,-73.95749,pip
SAN REMO PIZZERIA INC,,SAN REMO PIZZERIA INC,1408 CORTELYOU RD,11226,https://www.sanremomenu.com/,/liquor/logos/51e895859e49.png,0240-21-122367,Restaurant,0240,license,2025-11-17,2025-12-01,2027-11-30,40.64094,-73.96502,pip
SANI WINES CORP.,,SANI WINES CORP.,1034 E 12th St,11230,,,0007-25-123144,Wholesale Wine,0007,license,2025-09-16,2025-09-16,2028-08-31,40.62401,-73.96401,pip
STORE 14184,STORE 14184,DUANE READE INC,724 FLATBUSH AVE,11226,https://www.walgreens.com/locator/duane+reade-724+flatbush+ave-brooklyn-ny-11226/id=14184,/liquor/logos/ee1d7e253b58.png,0082-22-101993,Drug Store,0082,license,2025-09-28,2025-10-01,2028-09-30,40.65544,-73.95982,geoclient
STORE 14277,STORE 14277,DUANE READE INC,1517 CORTELYOU RD,11226,,,0082-22-102230,Drug Store,0082,license,2025-09-29,2025-10-01,2028-09-30,40.64156,-73.96363,pip
SUSHI TA'EEM,SUSHI TA'EEM,SUSHI TA'EEM CORP,1307 AVE J,11230,,,0240-23-139961,Restaurant,0240,license,2025-05-07,2025-06-01,2027-05-31,40.62501,-73.96286,pip
SYCAMORE,SYCAMORE,SYCAMORE LEE CORP,1118 CORTELYOU RD,11218,http://www.sycamorebrooklyn.com/,/liquor/logos/9e416c53cfa1.png,0370-23-129358,Food & Beverage Business,0370,license,2025-04-24,2025-06-01,2027-05-31,40.63992,-73.9673,pip
T A G DELI AND GROCERY INC,,T A G DELI AND GROCERY INC,2336 BEDFORD AVE,11226,,,0081-23-103114,Grocery Store,0081,license,2026-08-13,2026-08-13,2029-07-31,40.64674,-73.95567,geoclient
TACO BELL CANTINA,TACO BELL CANTINA,GFE FLATBUSH AVENUE LLC,1034 FLATBUSH AVE,11226,https://locations.tacobell.com/ny/brooklyn/1034-flatbush-ave.html,/liquor/logos/65b8c1639ebc.png,0240-22-100268,Restaurant,0240,license,2026-02-28,2026-03-01,2028-02-29,40.64585,-73.95807,pip
Tacos El Dorado Corp,,Tacos El Dorado Corp,1228 Flatbush Ave,11226,http://ordertacoseldoradobrooklyn.com/,/liquor/logos/f540d0c94b7c.png,0240-24-138953,Restaurant,0240,license,2024-12-12,2024-12-12,2026-11-30,40.64028,-73.95542,pip
TARGET  STORE T-3404,TARGET  STORE T-3404,TARGET CORPORATION,2101 CHURCH AVENUE,11226,,,0081-22-131032,Grocery Store,0081,license,2025-05-20,2025-06-01,2028-05-31,40.65029,-73.95927,pip
TARGET STORE T-2212,TARGET STORE T-2212,TARGET CORPORATION,1598 FLATBUSH AVE,11210,,,0081-22-125083,Grocery Store,0081,license,2025-05-20,2025-06-01,2028-05-31,40.63167,-73.94643,pip
TEMPURA CAFE,TEMPURA CAFE,LUTALI INC,1111 Avenue K,11230,https://lutali.com/,/liquor/logos/a0e80339299b.png,0340-24-124090,Restaurant,0340,license,2026-08-05,2026-08-05,2028-07-31,40.62239,-73.96438,geoclient
THE CASTELLO PLAN,THE CASTELLO PLAN,SHAKEEN LLC,1213 CORTELYOU RD,11218,https://thecastelloplan.com/,/liquor/logos/702ee760620b.png,0370-24-106328,Food & Beverage Business,0370,license,2026-02-13,2026-03-01,2028-02-29,40.64023,-73.96661,pip
THE GARDEN,THE GARDEN,AMA RINJIN INC,1108 CORTELYOU RD,11218,,,0340-23-165138,Restaurant,0340,license,2025-12-17,2025-12-17,2027-11-30,40.63977,-73.96764,pip
The Gentlemen's Kitchen,The Gentlemen's Kitchen,TGK Hospitality LLC,847 Flatbush Ave,11226,,,0370-26-150826-01,Additional Bar,0423,license,2026-08-05,2026-08-05,2028-07-31,40.65156,-73.95901,pip
The Gentlemen's Kitchen,The Gentlemen's Kitchen,TGK Hospitality LLC,847 Flatbush Ave,11226,,,0370-26-150826,Food & Beverage Business,0370,license,2026-08-05,2026-08-05,2028-07-31,40.65156,-73.95901,pip
TIME OUT MARKET (MANHATTAN) LLC,,TIME OUT MARKET (MANHATTAN) LLC,124 E 14th St,10003,https://www.timeout.com/time-out-market-union-square,/liquor/logos/e60fd5458d22.png,0340-26-141475,Restaurant,0340,license,2026-04-29,2026-04-29,2028-03-31,40.73387,-73.98859,geoclient
Tres Banderas Restaurant Corp,,Tres Banderas Restaurant Corp,1021 Church Ave,11218,,,0240-25-108674,Restaurant,0240,license,2025-04-30,2025-04-30,2027-03-31,40.64687,-73.96962,pip
UKRAINA,UKRAINA,MALKHAZ INC,1506 AVENUE J,11230,,,0071-22-104506,Grocery Store,0071,license,2025-04-25,2025-04-25,2028-03-31,40.62522,-73.96111,pip
US BANGLA GROCERY INC,,US BANGLA GROCERY INC,1424 NEWKIRK AVE,11226,,,0081-23-112573,Grocery Store,0081,license,2026-07-30,2026-08-01,2029-07-31,40.63542,-73.96354,pip
USA Deli & Grill Inc,,USA Deli & Grill Inc,1624 Newkirk Ave,11226,,,0081-24-112383,Grocery Store,0081,license,2024-05-06,2024-05-06,2027-04-30,40.63624,-73.96181,pip
W & FAM DELI GROCERY INC,,W & FAM DELI GROCERY INC,1585 FLATBUSH AVE,11210,,,0081-21-113180,Grocery Store,0081,license,2024-01-16,2024-01-16,2026-12-31,40.6322,-73.94701,pip
WALGREENS #19158,WALGREENS #19158,"WALGREEN EASTERN CO., INC.",1419 NEWKIRK AVE,11226,,,0082-22-100348,Drug Store,0082,license,2025-02-13,2025-02-13,2028-01-31,40.63547,-73.96343,pip
WATT LI BAR AND KITCHEN,WATT LI BAR AND KITCHEN,LI AND WATT INC,1505 NEWKIRK AVE,11226,,,0340-23-136693,Restaurant,0340,license,2025-01-29,2025-02-01,2027-01-31,40.63565,-73.96305,pip
WERKSTATT,WERKSTATT,VIENNA 2 INC,509 CONEY ISLAND AVE,11218,https://www.werkstattbrooklyn.com,/liquor/logos/80ede68c1ef6.png,0340-23-131700,Restaurant,0340,license,2025-02-18,2025-03-01,2027-02-28,40.64519,-73.97051,geoclient
WESTWOOD RESTAURANT,WESTWOOD RESTAURANT,1715 FOSTER AVE INC,1715 FOSTER AVE,11230,,,0370-23-161248,Food & Beverage Business,0370,license,2025-11-03,2025-12-01,2027-11-30,40.6352,-73.96075,pip
WHEATED LLC,,WHEATED LLC,905 CHURCH AVE,11218,,,0340-23-134834,Restaurant,0340,license,2025-04-16,2025-05-01,2027-04-30,40.64652,-73.97045,geoclient
Wine & Liquor,Wine & Liquor,1790 Wine & Liquor Inc,1790 Ocean Ave,11230,,,0100-26-137866,Liquor Store,0100,license,2026-03-18,2026-03-18,2029-02-28,40.61825,-73.95497,pip
WOODRUFF FINEST GROCERY CORP,,WOODRUFF FINEST GROCERY CORP,180 WOODRUFF AVE,11226,,,0081-22-125480,Grocery Store,0081,license,2025-01-08,2025-02-01,2028-01-31,40.65474,-73.96,geoclient
Y B FARM,Y B FARM,LUCKY CORNER FARM & FLORIST INC,1902 AVENUE M,11230,,,0081-21-112928,Grocery Store,0081,license,2026-03-12,2024-09-01,2027-08-31,40.61845,-73.95607,pip
