display_name,dba,legal_name,address,zip,website,logo,license_id,license_description,class,type,original_issue,effective,expires,lat,lon,assignment_method
GOURMET FRESH LLC,,GOURMET FRESH LLC,437 439 COURT ST,11231,,,0081-20-108671,Grocery Store,0081,license,2023-11-20,2024-01-01,2026-12-31,40.67823,-73.99788,pip
GOWANUS CONVENIENCE INC,,GOWANUS CONVENIENCE INC,414 4TH AVE,11215,,,0071-23-130994,Grocery Store,0071,license,2026-08-05,2026-08-05,2029-07-31,40.67168,-73.98769,pip
GOWANUS GARDENS,GOWANUS GARDENS,GLK PARTNERS LLC,256 4TH AVE,11215,https://www.gowanusgardensbk.com,logos/ad178a32c4fe.png,0370-23-136715,Food & Beverage Business,0370,license,2025-07-24,2025-08-01,2027-07-31,40.67641,-73.98379,pip
GOWANUS WINE MERCHANTS,GOWANUS WINE MERCHANTS,GOWANUS WINE MERCHANTS LLC,493 3RD AVE,11215,https://www.gowanuswines.com,logos/2b239f108e3d.png,0100-21-115683,Liquor Store,0100,license,2024-06-06,2024-07-01,2027-06-30,40.67035,-73.99196,pip
GOWANUS WINE STUDIO & TASTING TABLE,GOWANUS WINE STUDIO & TASTING TABLE,CRENERGY WINE & DESIGN INC,257 3RD AVE,11215,,,0100-23-123929,Liquor Store,0100,license,2026-04-20,2026-06-01,2029-05-31,40.67808,-73.9856,pip
GOWANUS YACHT CLUB & BAGELS BY THE PARK,GOWANUS YACHT CLUB & BAGELS BY THE PARK,MJ BAGEL INC,323 SMITH STREET,11231,,,0240-23-141647,Restaurant,0240,license,2025-06-18,2025-06-18,2027-05-31,40.68108,-73.9943,pip
GRAND CANYON DINER CORP,,GRAND CANYON DINER CORP,179 7TH AVE,11215,,,0240-22-102591,Restaurant,0240,license,2025-03-13,2025-02-20,2027-01-31,40.67144,-73.97777,pip
GREEN IVY,GREEN IVY,GREEN IVY 1 INC,244 246 4TH AVE,11215,,,0081-21-102011,Grocery Store,0081,license,2024-08-22,2024-09-01,2027-08-31,40.67666,-73.98363,pip
GUS'S CHOP HOUSE,GUS'S CHOP HOUSE,SPAGHETTI215 LLC,215 UNION ST,11231,,,0340-23-138858,Restaurant,0340,license,2025-03-06,2025-02-01,2027-01-31,40.68336,-73.99934,pip
HA NOI,HA NOI,PHO KIE INC,448 9TH ST,11215,,,0240-24-113700,Restaurant,0240,license,2026-04-11,2026-05-01,2028-04-30,40.6668,-73.98136,pip
