lic,name,entity,address,zip,cd,cb,codes,bakery,prep,sqft,lat,lng,geocoded
617891,Dny Natural Land,Dny Natural Land Inc,322 Flatbush Ave,11238,306,BKCB6,AC,False,True,4500,40.6771,-73.9724,False
617881,Mazel Food Cener,Mazel Food Cener Inc,4322 12Th Ave,11219,312,BKCB12,A,False,False,1200,40.63929,-73.99125,False
617877,46Th Street Food Ctr,46Th Street Food Center Inc,1048 46Th St,11219,312,BKCB12,AC,False,True,1200,40.6399,-73.99571,False
617874,Peace&Love Deli&Grcy,Peace And Love Deli And Grcy Corp,5602 3Rd Ave,11220,307,BKCB7,AC,False,True,1500,40.64433,-74.01834,False
617867,T & Y Convenience Store,T & Y Convenience Store Inc,7812 13Th Ave,11228,310,BKCB10,AC,False,True,900,40.61832,-74.00948,False
617866,Fine Fare,602 Produce & Meat Corp,602 Livonia Ave,11207,305,BKCB5,AC,False,True,5800,40.66462,-73.89489,False
617863,Royal Seafood 2,Sd International Products Fi Inc,8419 20Th Ave,11214,311,BKCB11,AC,False,True,1000,40.60534,-73.99747,False
617847,Kings Gourmet Food,Kings Gourmet Food Corp,1508 Kings Hwy,11229,315,BKCB15,AC,False,True,1300,40.60886,-73.95804,False
617837,Sea Town Fish&Meat Mkt,Sea Town Brooklyn Llc,328 Linden St,11237,304,BKCB4,AC,False,True,6000,40.69905,-73.91386,False
617812,C Town 41484,Immortal Rise Inc,4705 5Th Ave,11220,307,BKCB7,AC,False,True,5000,40.64662,-74.00874,False
617770,Express Deli Grocery,Arshak Corp,262 Neptune Ave,11235,313,BKCB13,AC,False,True,700,40.58129,-73.96298,False
617766,Radfan,Radfan Inc,6317 20Th Ave ####,11204,311,BKCB11,AC,False,True,1500,40.6173,-73.98506,False
617757,Clementes Pork&Salumera,Clementes Fine Foods Ltd,138 Avenue T,11223,311,BKCB11,AC,False,True,3000,40.59851,-73.98014,False
617754,Meal Mart,60Th St Fleisch Gesheft Inc,1973 60Th St,11204,312,BKCB12,AC,False,True,1200,40.61946,-73.98302,False
617752,Quisqueya Deli & Grcry,Gonzalez Ricardo,181 St Nicholas Ave,11237,304,BKCB4,AC,False,True,800,40.70405,-73.91578,False
617749,Americas Food Basket,Kari Meat Corp,2220 Atlantic Ave ##,11233,316,BKCB16,AC,False,True,6000,40.67617,-73.91211,False
617731,C Town,La Cana Food Corp,346 Central Ave,11221,304,BKCB4,AC,False,True,6500,40.69495,-73.91965,False
617723,Pasta Fresca,Pasta Fresca And Ravioli Corp,6406 11Th Ave ###,11219,310,BKCB10,ABCH,True,True,5000,40.62909,-74.00545,False
617722,Pioneer,Bc Food&Produce Corp,191-199 Parkside Ave,11226,309,BKCB9,AC,False,True,4000,40.65521,-73.96106,False
617705,Kings One Stop Mobil,Bolla Operating Corp,2228 Gerritsen Ave #######,11229,315,BKCB15,AC,False,True,1200,40.600949,-73.934778,True
617700,Key Food,Red Apple Tree Inc,169 Atlantic Ave,11201,306,BKCB6,AC,False,True,7500,40.69016,-73.9941,False
617697,Mozeb Deli,Mozeb Deli Inc,871 Franklin Ave,11225,309,BKCB9,AC,False,True,1000,40.66906,-73.95854,False
617692,Walgreens #10678,Walgreen Eastern Co Inc,379 Myrtle Ave,11205,302,BKCB2,A,False,False,5000,40.69317,-73.9713,False
617679,Goldbergs Grocery,G&G Foods&Dairy Inc,5025 18Th Ave,11204,312,BKCB12,AC,False,True,4500,40.6273,-73.98201,False
617670,Family Dollar Str #6208,Family Dollar Stores Of New York Llc,1090 Fulton St,11238,303,BKCB3,A,False,False,5000,40.68144,-73.95717,False
617646,Ideal Food Basket,Vaca Meat Corp,830 Lafayette Ave,11221,303,BKCB3,AC,False,True,8000,40.69122,-73.93953,False
617635,99 Cent Rush,Dollar Flow Inc,260 Prospect Park W,11215,307,BKCB7,A,False,False,3000,40.65867,-73.98187,False
617611,Smiley Mini Market,Smiley Mini Market Inc,8811 Flatlands Ave,11236,318,BKCB18,AC,False,True,2500,40.63948,-73.90715,False
617589,Gristedes 544,Namdor Inc,101 Clark St,11201,302,BKCB2,AC,False,True,8000,40.69725,-73.9922,False
